"","SPY","QQQ","IWM","vwap10","BB","sma20","sma50","sma100","sma200","cs10"
"2007-10-17",1.47253857184341,0.391019896073589,1.90669454813758,-0.774101743870848,-0.835753028447704,-0.622213125092569,0.599209636549208,0.954831249572429,2.15782703483212,-0.339218599721939
"2007-10-18",-0.446929449956516,-1.87295539326174,-0.575890970118436,-1.08013855917787,-1.27292824553431,-0.856222328741743,0.358954593534407,0.796471329339787,2.02970684559485,-0.842942778181566
"2007-10-19",1.67204627363255,1.72139862291941,1.60780345082396,-0.894705546620386,-1.09988659260441,-0.8076998875012,0.342867031885042,0.793642522073297,2.01909905284876,-0.539437797311148
"2007-10-22",1.97053365175346,1.93429959625254,1.62039925092666,-0.590984981223984,-0.854391195108957,-0.707930051153159,0.355290330917684,0.81262309548623,2.02437458377765,-0.206345657079062
"2007-10-23",0.436436016342698,0.119634576027919,0.246965482583769,1.3611040481358,1.84678001342241,1.06359020502312,1.42201088655816,1.51036517014985,2.62573365816842,2.35772987222713
"2007-10-24",-1.086089091252,-1.05192740520389,-0.785767323175518,-1.40930617456715,-1.67798506872412,-1.10099898312479,-0.133780720956321,0.471918180402083,1.78635151353056,-1.79318574287204
"2007-10-25",-1.44825188685806,-0.0940050834341598,-1.0318619877204,-1.44335827909597,-1.2775609026689,-1.11493173439981,-0.233109839689088,0.399305611307916,1.74095964302267,-1.54593655818895
"2007-10-26",-0.375061244791031,0.0120621950664937,0.0919469178858944,-0.974354867008124,-0.777766163382637,-0.812466048984362,-0.0867348019750231,0.540726673141575,1.8069809769369,-0.618311257684275
"2007-10-29",-0.191520300406219,0.751327250019866,0.118224248375069,-0.650987848827276,-0.479903161341176,-0.572112881723,0.0117043009804509,0.655058494066539,1.87395376643658,0.0289784719480681
"2007-10-30",-0.351547010019875,-1.56097235317197,-0.304088003543835,-1.07279508746707,-0.702795658568898,-0.791629500676804,-0.210560313751698,0.469613081972403,1.74408498589167,-0.662195513564246
"2007-10-31",-1.99246645579613,-2.41452208139194,-1.67351521516677,-1.2684862203361,-0.865317791846101,-0.893459636328905,-0.346444533186048,0.363060923252133,1.66506286602442,-0.833179698758143
"2007-11-01",0.929879917106555,0.417868958093337,0.963010491863044,-1.40195616859012,-0.884437276570961,-0.974114980247647,-0.455240762527872,0.27474052883677,1.61007363385602,-0.893017210347568
