"","SPY","QQQ","IWM","vwap10","BB","sma20","sma50","sma100","sma200","cs10"
"2011-11-09",0.0244369093825363,-0.0132974378963927,0.034060444539528,-1.50984496461229,-0.431077857915388,-0.527787235540146,0.557608408945354,-0.847684295230918,-1.46694919347007,-1.19933483907075
"2011-11-10",-0.736584908432714,0.276364661041939,-0.369324657558347,-0.843010133569491,-0.50576276577439,-0.589252226888576,0.55537295542161,-0.827359000939252,-1.46417043759285,-0.906470292226309
"2011-11-11",-2.9713543083929,-2.2938336809367,-3.1756129825061,-0.894588428901015,-0.642155684640797,-0.720740734204309,0.428860792633939,-0.864197896523465,-1.49537743762654,-0.923921125998311
"2011-11-14",1.98037761228313,1.26305562284772,1.74742237101708,0.980694609583539,0.35457379595117,0.460589510434729,1.22054187533247,-0.305011738979343,-1.21516686805176,1.72273526866918
"2011-11-15",-0.64181689945154,-1.39733535466928,-1.21131949524789,0.365572302276488,-0.0316729902526289,0.127037488494038,0.986983439492923,-0.389378212329117,-1.28151438004336,0.643096852004765
"2011-11-16",-0.209933230772945,-0.543635019219777,-1.53632839936106,-0.238714211119059,-0.281188449913667,-0.317213382334276,0.784448033220359,-0.525365082638802,-1.3539930704421,-0.319200033109607
"2011-11-17",-0.227601348592856,-0.21508844284345,-0.381645968783188,-1.37260331133434,-1.34587577045427,-1.16792513369793,0.0100227219397531,-0.902238131034848,-1.55613936132494,-1.65547653027448
"2011-11-18",0.230436906391891,0.512485974227442,0.012052520551772,-1.32983086407338,-1.23639728511353,-1.20052913419984,-0.0675859666098418,-0.900806247210021,-1.57552824535816,-1.36434595742129
"2011-11-21",-0.10799157569973,-0.141122793744656,-0.113517910552795,-1.8098969869809,-1.89082701320086,-1.64628633227073,-0.604714343508546,-1.18648789304583,-1.69843955311476,-1.90506406155401
"2011-11-22",-0.440775374707336,-0.783825476229395,-0.486832350232192,-2.00195472592108,-1.75177080914657,-1.74579251092806,-0.730085957651147,-1.26298848067485,-1.72298282873742,-1.70230221072779
"2011-11-23",-0.227601348592856,-0.418840340982914,-0.138593210989987,-2.43156507989098,-2.05604055567389,-2.05139766220926,-1.23359458540431,-1.46771933298143,-1.8231437747531,-2.15747650883462
"2011-11-25",0.56174925957956,0.581295009879918,0.772473096940361,-2.41377033071206,-1.71762231434845,-1.97972117709713,-1.20557451320135,-1.44041202409985,-1.81326610194798,-1.66684444251874
"2011-11-28",-0.0320938729047394,-0.0650493751426922,-0.0463200521276483,-0.695174970082158,-1.07146645841817,-1.55436318184841,-0.808380648264783,-1.23193454569634,-1.7271751014108,-0.352624277301097
"2011-11-29",0.646619004749141,1.01399906938588,0.97975518288301,-0.333436968703859,-0.946169595491692,-1.38188593086289,-0.709053708961585,-1.13969837067947,-1.71882042271555,-0.062172164367587
"2011-11-30",-0.0464764530898494,-0.080411409457587,-0.073156488890124,1.35254251606097,-0.377126077900637,-0.463970694076334,0.00331972128001523,-0.661031388365949,-1.51005325583644,1.95800897490176
"2011-12-01",0.136923292939115,0.388621874287028,0.228255886772909,1.91344439425457,-0.0747939488584376,0.116419130799744,0.399644802651316,-0.386284251175525,-1.4056850953186,2.081051871317
"2011-12-02",0.689595014258382,0.615573759563972,0.784099131292358,2.01068156034074,0.152651366505185,0.513446094149645,0.616761134575605,-0.195345778664926,-1.3237136729378,1.9911679903358
"2011-12-05",0.471069219759725,0.640000106270164,0.295551177839908,2.58600793115126,0.739576901945635,1.29022614744861,0.974611131979033,0.214527329832392,-1.12101742899995,2.32356269578215
"2011-12-06",-0.912909437911492,-0.576119290332507,-1.13162487571456,2.38194191711928,0.465999538578458,1.07002244606291,0.810749172016054,0.112555516979345,-1.1839011706364,1.41327746371423
"2011-12-07",-0.0781576845388116,0.366030168114575,0.43354699508927,2.29494432943224,0.48959522629988,1.11515375122364,0.8054446722497,0.171585045162493,-1.15559860820653,0.997561507437795
"2011-12-08",-0.206016094919168,-0.459980361703537,-0.174433111948702,1.75128670332737,0.107288793433514,0.49712008713508,0.419431267542527,-0.0802653685204079,-1.2923986277788,-0.40300488781491
"2011-12-09",0.887628988923043,0.952208755631406,0.744480174718125,1.96300094013754,0.194428596288892,0.689159991776666,0.522162795165021,0.0433712419774175,-1.23125152135932,0.0584686698027458
"2011-12-12",0.0858434109714839,-0.363008098354603,-1.07030673406898,1.1359138460155,0.0487295026864417,0.389271757992316,0.2868413649427,-0.041888459535357,-1.28802673808916,-0.473619784686862
"2011-12-13",-0.268122417713118,-0.27132596693459,0.0139658990174613,-0.303241283911531,0.00277918807274253,0.315845956463828,0.0828947140912398,-0.077383806454772,-1.31463556096345,-0.587148161020856
"2011-12-14",-0.235476457047516,-0.211169495355965,-0.143424971216053,-1.24051081175329,-0.422700037581952,-0.51792049190863,-0.595560835511473,-0.448910111762684,-1.4781783255473,-1.6261611205065
"2011-12-15",0.891877489069392,1.62049181865217,0.608792534950244,-0.708631265102579,-0.189703019993374,-0.0716834686248933,-0.377807446608594,-0.247340054944729,-1.40313825478413,-0.724891104386157
"2011-12-16",2.42019136770637,1.35953644211915,0.480218840918851,-0.369055112367663,-0.084392126777585,0.107741259590462,-0.312807187722791,-0.149673417093128,-1.36597378479069,-0.21401881471328
"2011-12-19",2.71603588881904,2.09063237226207,2.30873223476161,0.0180386306031176,-0.0288011549371036,0.237178851280434,-0.240214833725527,-0.0505161358488914,-1.32143399719954,0.11706087979816
"2011-12-20",0.145628293259114,0.0662157361763312,0.145517228398616,0.793899261579367,0.210056785682586,0.650807212107786,0.0569748881556349,0.241070660161284,-1.19938848745215,0.977393391561307
