"","SPY","QQQ","IWM","vwap10","BB","sma20","sma50","sma100","sma200","cs10"
"2007-10-17",-0.563928447611664,-1.49920540874482,0.738607773943042,0.71319293254824,1.25306331110834,0.769207881323512,1.36311136133088,1.12769652221374,1.45899225660315,0.448873784400189
"2007-10-18",1.13423847138361,-0.611532791487247,0.969015254462089,0.50695467890882,1.01926790038072,0.697328227706896,1.30321555185301,1.10220528739702,1.4511369674678,0.222353577094612
"2007-10-19",-0.3650714135465,-0.470468529695825,-0.0953263424283126,-0.559532918269598,-0.0200126035437325,-0.0268608361602592,0.845932510970358,0.773170655478567,1.3227462881925,-1.09518266702193
"2007-10-22",-0.0839510349131142,-0.505348041309053,-0.561316703597857,-1.53387910015723,-1.20869789771327,-0.920362181049483,0.134812220596741,0.261350208672312,1.01224009449749,-1.85273058314005
"2007-10-23",-0.580957286313347,-0.709092069271161,-0.684044182033247,-1.1913323303029,-0.742730316488677,-0.667575853391222,0.336676621168761,0.404016623417764,1.09452022443078,-1.1141777385633
"2007-10-24",1.67644708694822,1.57345868158229,1.81451895100159,-0.94145889397664,-0.521560944257758,-0.49947208468574,0.419403893888824,0.496140539817125,1.13920207212864,-0.545620787076735
"2007-10-25",0.956753520233452,1.68114461201527,1.27807909110541,-0.332727601098948,-0.111743500066706,-0.110998130553561,0.638662634168167,0.686228738616049,1.25086854695437,0.393319796638433
"2007-10-26",-0.0356850990085233,0.380794030879392,0.511202161595455,0.424229052393123,0.373648712624142,0.347180857026345,0.862736443818769,0.906982275052773,1.36655617192837,1.1713298918871
"2007-10-29",-0.993978681100286,-0.168912926984603,-0.7006427720266,0.675614727368031,0.493780357126338,0.446867390039727,0.890955002338398,0.939536766860246,1.38234274949792,1.02960784552093
"2007-10-30",-0.768648261856081,-1.45824002515226,-0.688393840915318,-0.0991802802974304,-0.148519436935645,-0.1623816930201,0.495740311372907,0.651006561717376,1.21435405959825,-0.478134816311184
"2007-10-31",-0.949853342716518,-0.93063980783952,-0.573430569438134,0.188165737526856,-0.0689109651358081,-0.06335331923195,0.51997771942077,0.690581509507028,1.24047904982073,-0.149341287040365
"2007-11-01",0.765846497080756,-0.166819466765982,0.798574235159855,-0.149090270333915,-0.311167186505794,-0.380451036613191,0.246948606814973,0.525915136650177,1.12749927602595,-0.674165655451073
"2007-11-02",1.27561748437574,0.450488151267157,1.17622540061553,-0.161621352788479,-0.490286383979228,-0.438805546731125,0.172402143476245,0.482188851811481,1.09203196138451,-0.57867148522697
"2007-11-05",1.38488731584415,0.970274361341543,1.4420217059135,-0.334909366790748,-0.505080279921761,-0.475459359733047,0.112628411923335,0.456847604707387,1.07479821718257,-0.454348719814627
"2007-11-06",0.582169424114454,0.749707639124486,0.775182351778734,0.583487471161298,0.209183719537108,0.184623713721438,0.580746012233956,0.796521751708999,1.27821786652562,1.05078398634409
"2007-11-07",0.76125384611376,0.327362336977955,0.577333648744711,0.0378536859227634,-0.107590656997271,-0.117229077168868,0.312755810624673,0.641693001193487,1.18074769592911,0.0720819655295382
"2007-11-08",1.34667569816377,1.23426348331629,0.995693151910587,-0.142138822495953,-0.191100465484977,-0.207868859298168,0.192685738710899,0.581208137754765,1.13138316928229,-0.203859245073413
"2007-11-09",0.248943648776276,0.614489114457153,-0.327150930260474,-0.605166858547204,-0.543758200126474,-0.552393927509446,-0.0927846772476386,0.352278251474505,0.989628502792163,-0.856942288681684
"2007-11-12",-0.744823267776243,-0.0484169836966045,-1.68650326915038,-1.57284766513607,-2.03483348164332,-1.30517825012288,-0.648797318214092,-0.147113633361499,0.529740656191109,-1.83028919164696
"2007-11-13",-1.91459474897398,-1.54737308871909,-1.76550438690551,-1.45825794614545,-1.70743867830237,-1.22858516262201,-0.651346949753192,-0.146417162882833,0.519479847653617,-1.40743864402637
"2007-11-14",0.262444667440597,0.206174828704595,0.785422011010268,-0.712861482726703,-0.732799819427255,-0.719175963485053,-0.370741898984664,0.107821318547907,0.772159752227936,-0.158392166095551
"2007-11-15",0.0358972187958674,-0.0849634783791659,-0.0787612497285695,-1.41585732356913,-1.48099081019135,-1.21410596239849,-0.762667120247429,-0.225656526573228,0.406085917241146,-1.30728566137625
"2007-11-16",1.46600048545009,0.501280521695521,1.74462274007808,-1.13459543910067,-1.09285007150145,-1.04630927591301,-0.685758677138316,-0.170838657091849,0.461283766247113,-0.74772475375597
"2007-11-19",1.26033509829525,0.401569585296677,1.36154695854152,-1.12937991245122,-1.0829175524645,-1.09256440243774,-0.740767768384953,-0.210837773737913,0.414321653672516,-0.701193819184883
"2007-11-20",2.06043080023094,1.62752051835098,2.39131253556352,-0.378896899468526,-0.573508336192805,-0.696209278502134,-0.499415859725726,-0.0129277916665958,0.633173411598719,0.421686536979331
"2007-11-21",1.17969139882432,0.833261172055913,0.964635485763334,-0.357550010932067,-0.607078533901491,-0.775545413315112,-0.578194944006508,-0.0839854637166663,0.544039735494584,-0.0277131588227986
"2007-11-23",-0.923188498128322,-0.256921651051579,-1.13071130367937,0.130359732647863,-0.461012933926312,-0.602779023030315,-0.492412261288044,-0.011549917100163,0.615632069894603,0.269827652547334
"2007-11-26",0.840693978990671,0.218130991770709,0.806151894785786,0.0902307083528763,-0.512126405576443,-0.652186296665826,-0.575756872985357,-0.0860598375696347,0.52026721190432,-0.126419691320726
"2007-11-27",-1.03541018019458,-1.69525310044346,-0.918242782448602,-1.09369756669938,-1.36579782833432,-1.26137827529354,-1.00919191021565,-0.435589696113267,0.128308964642592,-1.46127409822683
